Thema;Nr;Kategorie;Zeitbemerkung;Raum;Nordwert (lat);Ostwert (lon);Title;URL
Künstliche Intelligenz;1;Showvorlesung;"10.30 –11.30 
14.30 –15.30";1.269/1.271;47.2233351;8.8172381;Einführung in die Künstliche Intelligenz;https://events.ost.ch/tag-der-offenen-tuer-in-rapperswil/eventplaner-tag-der-offenen-tuer-in-rapperswil/veranstaltungen/einfuehrung-in-die-kuenstliche-intelligenz
Chemie und Physik;2;Showvorlesung;"10.30 – 11.15 
14.30 – 15.15";3.008;47.2228308;8.8180032;Chemie-Show;
Chemie und Physik;3;Showvorlesung;"11.30 – 12.00 
13.30 – 14.00";3.010;47.2227282;8.8178698;"Die faszinierende Welt der
Physik";
Künstliche Intelligenz;4;Show + Workshop;"10.30 – 11.30 
13.30 – 14.30";1.259;47.2230322;8.8176056;"Geht das zu weit? Umweltbewusstere
Ferienplanung
mit KI in Zeiten des Klimawandels";
OST-Rahmenprogramm;5;Rahmenprogramm;permanent;"Gebäude 4
Eingang";47.2233279;8.8167949;"Datacafé – Mit Daten
bezahlen";
OST-Rahmenprogramm;6;Rahmenprogramm;permanent;"Gebäude 4
Eingang";47.2232860;8.8168415;"Wo ist was? Campusplan
Infoposten";
Wirtschaft;7;Showvorlesung;"10.30 – 11.15 
13.30 – 14.15";1.261;47.2230886;8.8175388;"Low Code in der Praxis –
Programmieren (fast) ohne
Programmierkenntnisse?";
Studieren in Rapperswil-Jona;8;Betriebsökonomie;"10.30 – 11.00 
11.30 – 12.00 
13.30 – 14.00";1.263;47.2231502;8.8174637;"Wirtschaft praxisnah und
chancenreich erleben mit
Praixprojekten";
OST-Rahmenprogramm;9;Rahmenprogramm;permanent;"Gebäude 4
Foyer";47.2231731;8.8165716;Glücksrad;
Studieren in Rapperswil-Jona;8;Wirtschaftsinformatik;"10.30 – 11.00 
11.30 – 12.00 
13.30 – 14.00";1.263;47.2231700;8.8174822;"Praxisprojekte für digitale
Leader";
Studieren in Rapperswil-Jona;10;Informatik;permanent;8.U00;47.2232820;8.8185678;Informatik zum Anfassen;
Kinder- und Jugendprogramm;11;Kinderprogramm;permanent;8.U00;47.2232997;8.8186121;OST Quest;
Studieren in Rapperswil-Jona;12;"Erneuerbare
Energien und
Umwelttechnik";"11.30 – 12.00 
14.30 – 15.00";1.209;47.2235926;8.8175345;"Innovative Technik für eine
nachhaltige Zukunft";
Informatik;13;Showvorlesung;"10.30 – 11.00 
11.30 – 12.00 
13.30 – 14.00 
14.30 – 15.00";1.265;47.2232043;8.8174061;"13 Vom Code zum Bild –
Grafiken programmieren in
Dr. Racket";
Interkulturelle Kompetenz;14;Vortrag;"10.30 – 11.00 
11.30 – 12.00 
14.30 – 15.00 
15.30 – 16.00";1.273;47.2234604;8.8170869;"Future Skills – Ohne Kommunikation
ist alles nix
Videos zum Thema Fremdsprachenkompetenzen
werden ausserhalb der Vortragszeiten
permanent in
der Ausstellung angeboten.";
Künstliche Intelligenz;15;Showvorlesung;"11.30 – 12.00 
14.30 – 15.00";1.267;47.2232716;8.8173236;"Wie künstliche Intelligenz
unser Suchen und Lernen
revolutioniert";
Informatik;16;"Ausbildung zum
Anfassen";permanent;8.U00;47.2232323;8.8187442;Adventure Box;
Informatik;17;Showvorlesung;"10.30 – 11.00 
14.30 – 15.00";1.251;47.2229795;8.8179774;"Wie funktioniert das Internet,
das grösste Computernetzwerk
der Welt";
Informatik;18;Showvorlesung;"11.30 – 11.40 
14.30 – 14.40";1.227;47.2230342;8.8179703;"Das Gute, das Schlechte,
das Hässliche und das
Internet der Dinge";
OST-Rahmenprogramm;19;Führung;"11.30 – 12.00 
13.30 – 14.00 
15.30 – 16.00";"Gebäude 5
Aufgang zur
Bibliothek";47.2235804;8.8166088;"Kunstführung in der
Bibliothek";
Informatik;20;Showvorlesung;"10.30 – 11.00 
14.30 – 15.00";1.225;47.2231002;8.8181152;"Der Weg der Datenpakete –
Licht ins Dunkle bringen";
Informatik;21;Showvorlesung;"11.30 – 12.00 
15.30 – 16.00";1.221;47.2231883;8.8180230;"Auf dem richtigen Kurs:
Eine Einführung in ein
fortschrittliches Netzwerkkonzept";
Architektur, Bau, Landschaft, Raum;22;Ausstellung;permanent;"Gebäude
6, EG und
1. OG";47.2236246;8.8161639;"Ausstellung der Bachelorarbeiten
der Studierenden
Landschaftsarchitektur";
Informatik;23;Showvorlesung;"10.30 – 11.15 
14.30 – 15.15";1.215;47.2233955;8.8177809;"Einsatz der Simulation zur
Prozess-Verbesserung";
Kinder- und Jugendprogramm;24;Kinderprogramm;"10.30 – 11.30 
13.30 – 14.30 
14.30 – 15.30";"Gebäude 4
Foyer";47.2232084;8.8165608;NetQuest;
Architektur, Bau, Landschaft, Raum;25;Führung;"10.30 – 11.30 
14.30 – 15.30";"Gebäude 2
Eingang";47.2235410;8.8177534;"Laborrundgänge Wasserbau,
Geotechnik, Baustoffprüfstelle";
Kinder- und Jugendprogramm;26;"Spielerisch die
OST erleben";"10.30 - 11.15 
11.30 - 12.15 
13.30 - 14.15 
14.30 - 15.15 
15.30 - 16.00";"Gebäude 5
Foyer";47.2236522;8.8168696;Stadtraum planen;
Architektur, Bau, Landschaft, Raum;27;Ausstellung;permanent;"Zwischen
Gebäude 4
und 6";47.2234340;8.8166299;"Bauausstellung - Studentische
Visionen der architektonischen
Weiterentwicklung
des Campus";
Klima und Energie;28;Vorführung;"13.30 – 14.15 
14.30 – 15.15";Power-to-Gas;47.2244346;8.8261041;"Energie der Zukunft: Wie
kann man mit Wasserstoff
Strom speichern?";
Gesund leben und altern;29;Wettbewerb;permanent;8.U00;47.2232975;8.8186164;"Swing It – Wie gut sind
deine koordinativen Fähigkeiten?";
Gesund leben und altern;30;Vortrag;"10.30 – 11.00 
14.30 – 15.00";"Gebäude 1
Foyer Süd";47.2230477;8.8177983;Zukunft der Barrierefreiheit;
Kinder- und Jugendprogramm;31;Kinderprogramm;permanent;3.109;47.2228582;8.8180243;"Marktplatz der Ideen: Reale
Beispiele aus verschiedenen
Anwendungsgebieten
zum Anfassen";
Gesund leben und altern;32;Showvorlesung;"11.30 – 11.50 
14.30 – 14.50";Techpark;47.2238564;8.8176401;"Besser, schneller, weiter:
Mit neuen Kunststoffen zu
Höchstleistungen im Sport";
Gesund leben und altern;33;Ausstellung;permanent;Techpark;47.2238564;8.8176401;"Hochleistungssportgeräte
aus modernen Kunststoffen
zum Anfassen";
Technik;34;"Spielerisch die
OST erleben";permanent;Techpark;47.2238564;8.8176401;"Kugellabyrinth: Stelle dein
eigenes Geschicklichkeitsspiel
her";
Technik;35;"Installation und
Vorführung";permanent;Techpark;47.2238564;8.8176401;"3D-Druck LIVE!
Einblicke in die spannende
Welt dieser Fertigungstechnologie";
Technik;36;Showvorlesung;"10.30 – 10.50 
13.30 – 13.50";Techpark;47.2238564;8.8176401;"Spannende Anwendungen
des 3D-Drucks in der
Raumfahrtindustrie und
Medizintechnik";
Technik;37;Vorführung;permanent;Techpark;47.2238564;8.8176401;"Becherrecycling an Grossveranstaltungen
– Wie könnte es gehen?";
Technik;38;Vorführung;permanent;Techpark;47.2238564;8.8176401;"Kunststoffrecycling – Es
geht!";
Studieren in Rapperswil-Jona;39;"Maschinentechnik
| Innovation";"10.30 – 11.00 
11.30 – 12.00 
13.30 – 14.00 
14.30 – 15.00";1.217;47.2233239;8.8178677;"Innovationen durch
Studierende: Spannende
Entwicklungsprojekte für
die Rega und Geberit";
Technik;40;Vorführung;permanent;Techpark;47.2238564;8.8176401;"Spritzgiessen erleben: Wie
werden Unihockeybälle
hergestellt?";
Technik;41;Showvorlesung;"11.30 – 12.00 
14.30 – 15.00";Techpark;47.2238564;8.8176401;"Live Projekt – wie wird
der Einwegbecher durch
Recycling zu einem neuen
Bauteil?";
Klima und Energie;42;Vorführung;"10.30 – 10.50 
13.30 – 13.50 
15.30 – 15.50";"Gebäude 2
Eingang";47.2235651;8.8177574;"Hagelprüfung: Beschuss
von Test-Objekten mit
Eiskugeln";
Klima und Energie;43;Führung;"11.30 – 11.50 
14.30 – 14.50";"Gebäude 2
vor Treppe";47.2235847;8.8177846;"Forschungslabor Solardach:
Solare Wärme für die
Energiewende";
